"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"621","Drunk People","Chris Lane","Country",1,42,149.922,0.812,0.666,-4.805,0.0466,0.0937,0.154,0,0.798,197280
"622","Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Wiz Khalifa","Hip Hop",0,77,169.021,0.786,0.502,-4.378,0.317,0.255,0.65,0,0.739,243491
"623","Starships","Nicki Minaj","Hip Hop",0,68,125.008,0.716,0.747,-2.457,0.075,0.135,0.251,0,0.751,210627
"624","Moonlight","Ali Gatie","Pop",1,74,120,0.479,0.804,-6.661,0.0321,0.494,0.0994,0,0.462,228484
"625","Island (feat. Nevve)","Seven Lions","Electronic Dance",0,59,150.128,0.836,0.427,-3.323,0.0466,0.0456,0.369,0.00238,0.248,278400
"626","Garden Grove","Sublime","Alternative/Reggae",0,58,81.64,0.617,0.531,-6.111,0.0426,0.00225,0.0296,0.000692,0.549,261387
"627","This Feeling","The Chainsmokers","Electronic Dance",1,80,105.049,0.571,0.575,-7.906,0.0439,0.0558,0.0912,0,0.449,197947
"628","Cabin By the Sea","Dirty Heads","Alternative/Reggae",1,55,168.017,0.684,0.685,-7.991,0.0504,0.236,0.97,3.43e-05,0.779,245501
"629","Santeria","Sublime","Alternative/Reggae",0,74,90.807,0.765,0.682,-5.021,0.0395,0.0268,0.188,3.42e-05,0.567,182747
"630","Reelin","Iration","Alternative/Reggae",0,53,146.924,0.733,0.654,-4.889,0.0461,0.00757,0.112,0,0.893,272747
"631","broken - acoustic","lovelytheband","Alternative/Reggae",1,59,123.015,0.341,0.685,-10.434,0.0354,0.798,0.0951,0,0.42,202927
"632","My Wish","Rascal Flatts","Country",1,65,135.712,0.769,0.548,-4.853,0.0312,0.0307,0.0867,5.53e-06,0.388,248280
"633","Hero","Chris Lane","Country",1,46,148.121,0.365,0.388,-9.059,0.034,0.837,0.295,0,0.461,231667
"634","Big Green Tractor","Jason Aldean","Country",1,66,137.071,0.59,0.623,-5.014,0.028,0.646,0.295,0,0.579,204200
"635","Still Learning","Halsey","Pop",0,78,102.046,0.661,0.708,-6.543,0.0546,0.0396,0.113,0.000244,0.317,211784
"636","Just Dance","Lady Gaga","Pop",0,60,118.992,0.739,0.822,-4.541,0.0311,0.0264,0.181,4.26e-05,0.745,241933
"637","TIME - Alison Wonderland x QUIX","Alison Wonderland","Electronic Dance",1,51,129.462,0.895,0.493,-5.824,0.057,0.0975,0.35,0.616,0.152,213267
"638","Spotlight","Marshmello","Electronic Dance",1,76,150.06,0.822,0.546,-4.483,0.151,0.0145,0.742,0,0.615,177600
"639","i miss the old u","blackbear","Pop",1,73,132.995,0.805,0.718,-5.257,0.325,0.279,0.527,0,0.36,211128
